Title,Artist,year
(I've Had) The Time Of My Life,Bill Medley & Jennifer Warnes,1988
Simply Irresistible,Robert Palmer,1988
The Flame,Cheap Trick,1988
"Get Outta My Dreams, Get Into My Car",Billy Ocean,1988
I Should Be So Lucky,Kylie Minogue,1988
Perfect,Fairground Attraction,1988
What A Wonderful World,Louis Armstrong,1988
Never Gonna Give You Up,Rick Astley,1988
Age Of Reason,John Farnham,1988
Better Be Home Soon,Crowded House,1988
Heaven Is A Place On Earth,Belinda Carlisle,1988
Whenever You Need Somebody,Rick Astley,1988
Don't Be Cruel,Cheap Trick,1988
"Don't Worry, Be Happy",Bobby McFerrin,1988
Doctorin' The Tardis,The Timelords,1988
All Fired Up,Pat Benatar,1988
Got My Mind Set On You,George Harrison,1988
Got To Be Certain,Kylie Minogue,1988
Faith,GEORGE MICHAEL,1988
A Groovy Kind of Love,Phil Collins,1988
Stutter Rap,Morris Minor & The Majors,1988
Wanna Be Up,Chantoozies,1988
Underneath The Radar,Underworld,1988
Love In The First Degree,Bananarama,1988
Run To Paradise,Choirboys,1988
When Will I Be Famous?,Bros,1988
Sign Your Name,Terence Trent D'Arby,1988
Desire,U2,1988
Push It,Salt-N-Pepa,1988
(sittin' On) The Dock Of The Bay,Michael Bolton,1988
"Only Way Is Up, The",Yazz & The Plastic Population,1988
I Think We're Alone Now,Tiffany,1988
I Found Someone,Cher,1988
I Want You Back,Bananarama,1988
Always On My Mind,Pet Shop Boys,1988
Nothing's Gonna Change My Love for You,Glenn Medeiros,1988
Breakaway,Big Pig,1988
Could've Been,Tiffany,1988
Hungry Eyes,Eric Carmen,1988
That's When I Think Of You,1927,1988
Boys (summertime Love),Sabrina,1988
Pink Cadillac,Natalie Cole,1988
Tell It To My Heart,Taylor Dayne,1988
Fast Car,Tracy Chapman,1988
Pump Up The Volume,M.A.R.R.S.,1988
Make Me Lose Control,Eric Carmen,1988
Hazy Shade Of Winter,The Bangles,1988
Motor's Too Fast,James Reyne,1988
Nothin' But A Good Time,Poison,1988
Blue Monday 1988,New Order,1988
Like A Prayer,Madonna,1989
The Look,Roxette,1989
I'm Gonna Be (500 Miles),The Proclaimers,1989
Eternal Flame,The Bangles,1989
If I Could Turn Back Time,Cher,1989
She Drives Me Crazy,Fine Young Canibals,1989
Bedroom Eyes,Kate Ceberano,1989
You Got It (the Right Stuff),New Kids On The Block,1989
Kokomo,The Beach Boys,1989
The Living Years,Mike And The Mechanics,1989
Wind Beneath My Wings,Bette Midler,1989
Teardrops,Womack And Womack,1989
If You Don't Know Me by Now,Simply Red,1989
Right Here Waiting,Richard Marx,1989
Tucker's Daughter,Ian Moss,1989
Swing The Mood,Jive Bunny And The Mastermixers,1989
Especially For You,Kylie Minogue,1989
Poison,Alice Cooper,1989
Batdance,Prince,1989
Dressed For Success,Roxette,1989
If I Could,1927,1989
All I Want Is You,U2,1989
You Got It,Roy Orbison,1989
Stop!,Sam Brown,1989
Baby I Don't Care,Transvision Vamp,1989
Talk It Over,Grayson Hugh,1989
Lost in Your Eyes,Debbie Gibson,1989
