Title,Artist,year
Asshole,Denis Leary,1993
Creep,Radiohead,1993
Linger,The Cranberries,1993
No Rain,Blind Melon,1993
Cannonball,The Breeders,1993
Killing in the Name,Rage Against the Machine,1993
Lemon,U2,1993
Go,Pearl Jam,1993
The Honeymoon Is Over,The Cruel Sea,1993
Stone Me into the Groove,Atomic Swing,1993
Everybody Hurts,R.E.M.,1993
Plush,Stone Temple Pilots,1993
Soul to Squeeze,Red Hot Chili Peppers,1993
I Held Her in My Arms,Violent Femmes,1993
Wild America,Iggy Pop,1993
Sister Havana,Urge Overkill,1993
Hits from the Bong,Cypress Hill,1993
Go West,Pet Shop Boys,1993
Trout,Neneh Cherry and Michael Stipe,1993
Heart-Shaped Box,Nirvana,1993
Black Stick,The Cruel Sea,1993
The Ship Song (Live),Nick Cave and the Bad Seeds,1993
Human Behaviour,Björk,1993
What's Up?,4 Non Blondes,1993
Feed the Tree,Belly,1993
Somewhere,Efua,1993
Sober,Tool,1993
Are You Gonna Go My Way,Lenny Kravitz,1993
All That She Wants,Ace of Base,1993
Constant Craving,k.d. lang,1993
Numb,U2,1993
Jessie,Paw,1993
Pets,Porno for Pyros,1993
Cantaloop (Flip Fantasia),Us3,1993
Shoop,Salt-N-Pepa,1993
The Right Time,Hoodoo Gurus,1993
My Sister,The Juliana Hatfield Three,1993
Get Me,Dinosaur Jr.,1993
Friday I'm in Love,The Cure,1993
Push th' Little Daisies,Ween,1993
World Turning (Räwak Mix),Yothu Yindi,1993
Dreams,Gabrielle,1993
Cherub Rock,The Smashing Pumpkins,1993
Juice,Headless Chickens,1993
Start Choppin,Dinosaur Jr.,1993
Detachable Penis,King Missile,1993
Tease Me,Chaka Demus & Pliers,1993
Night of the Wolverine,Dave Graney 'n' the Coral Snakes,1993
Bi,Living Colour,1993
Adam's Ribs,You Am I,1993
Would?,Alice in Chains,1993
Runaway Train,Soul Asylum,1993
Taillights Fade,Buffalo Tom,1993
Holy Grail,Hunters & Collectors,1993
Alive and Brilliant,Deborah Conway,1993
Can You Forgive Her?,Pet Shop Boys,1993
Choppers (Koppelman Mix),Headless Chickens,1993
Jesus Was Way Cool,King Missile,1993
"You're Just Too Hip, Baby",Dave Graney 'n' the Coral Snakes,1993
Distant Sun,Crowded House,1993
Last Train (Master Mix),Christine Anu and Paul Kelly,1993
Easy,Faith No More,1993
Scratch My Back,The Sharp,1993
Nearly Lost You,Screaming Trees,1993
Regret,New Order,1993
Something Good,Utah Saints,1993
Boom Shack-A-Lak,Apache Indian,1993
Mr. Vain,Culture Beat,1993
Animal Nitrate,Suede,1993
Sleepy Head (Serene Machine),Ed Kuepper,1993
Nothingness (Colour Mix),Living Colour,1993
Baby (You Got in the Way),Barefoot,1993
Mr. Wendal,Arrested Development,1993
Ain't No Love (Ain't No Use),Sub Sub,1993
The Drowners,Suede,1993
Before,Caligula,1993
Lost,The Badloves,1993
Deep,East 17,1993
Mrs. Robinson,The Lemonheads,1993
Rooster,Alice in Chains,1993
Insane in the Brain,Cypress Hill,1993
Green Limousine,The Badloves,1993
Your Eyes (Shaggy Mix),Underground Lovers,1993
Bullet in the Head,Rage Against the Machine,1993
Three Little Pigs,Green Jellÿ,1993
World (The Price of Love),New Order,1993
Do It,Swoop,1993
Dixie Drug Store,Grant Lee Buffalo,1993
Aboriginal Woman,Mixed Relations,1993
For Tomorrow,Blur,1993
Happy Birthday Helen,Things of Stone and Wood,1993
I Feel You,Depeche Mode,1993
Man on the Moon,R.E.M.,1993
Sweat (A La La La La Long),Inner Circle,1993
Delivery Man,The Cruel Sea,1993
Candy Everybody Wants,"10,000 Maniacs",1993
Rubberband Girl,Kate Bush,1993
Freedom,Kev Carmody,1993
Ebeneezer Goode,The Shamen,1993
Gloria,Van Morrison and John Lee Hooker,1993
Zombie,The Cranberries,1994
Closer,Nine Inch Nails,1994
Self Esteem,The Offspring,1994
Come Out and Play,The Offspring,1994
Tomorrow,Silverchair,1994
Seether,Veruca Salt,1994
About a Girl,Nirvana,1994
Coma,Max Sharam,1994
If I Only Knew,Tom Jones,1994
Dead Eyes Opened '94,Severed Heads,1994
Do You Love Me?,Nick Cave and the Bad Seeds,1994
Laid,James,1994
Bug Powder Dust,Bomb the Bass,1994
Better Get a Lawyer,The Cruel Sea,1994
All I Wanna Do,Sheryl Crow,1994
Sabotage,Beastie Boys,1994
Interstate Love Song,Stone Temple Pilots,1994
Longview,Green Day,1994
Losin' It,Underground Lovers,1994
Time Bomb,Nick Barker,1994
Sweetness and Light,Itch-E and Scratch-E,1994
Black Hole Sun,Soundgarden,1994
Berlin Chair,You Am I,1994
Basket Case,Green Day,1994
Today,The Smashing Pumpkins,1994
7 Seconds,Youssou N'Dour and Neneh Cherry,1994
I Alone,Live,1994
Doll Parts,Hole,1994
Beercan,Beck,1994
Confide in Me,Kylie Minogue,1994
Fall,Single Gun Theory,1994
Fade into You,Mazzy Star,1994
Supernova,Liz Phair,1994
Miss World,Hole,1994
Cornflake Girl,Tori Amos,1994
Spin the Black Circle,Pearl Jam,1994
Voodoo People,The Prodigy,1994
Atomic Electric,Rebecca's Empire,1994
Mathar,The Dave Pike Set,1994
Undone – The Sweater Song,Weezer,1994
Your Ghost,Kristin Hersh,1994
Absolutely Fabulous,Pet Shop Boys,1994
Monkey and the Turtle,Christine Anu,1994
Swamp Thing,The Grid,1994
Loser,Beck,1994
My Wave,Soundgarden,1994
Einstein on the Beach (For an Eggman),Counting Crows,1994
Mr. Jones,Counting Crows,1994
Amen (Testament Remix),Falling Joys,1994
Daddy Long Legs,Tumbleweed,1994
Spoonman,Soundgarden,1994
Lap It Up,Penny Flanagan,1994
Fell on Black Days,Soundgarden,1994
Vasoline,Stone Temple Pilots,1994
La Di Doh,Ed Kuepper,1994
Bizarre Love Triangle,Frente!,1994
Burn,The Cure,1994
Everything's Cool,Pop Will Eat Itself,1994
Sometimes Always,The Jesus and Mary Chain,1994
Cut Your Hair,Pavement,1994
Hey Jealousy,Gin Blossoms,1994
Lemon Sparked,Pale,1994
Parklife,Blur,1994
A Conspiracy,The Black Crowes,1994
Bull in the Heather,Sonic Youth,1994
Hobo Humpin' Slobo Babe,Whale,1994
Andres,L7,1994
Feel the Pain,Dinosaur Jr.,1994
Mmm Mmm Mmm Mmm,Crash Test Dummies,1994
"What's the Frequency, Kenneth?",R.E.M.,1994
Dropout,Urge Overkill,1994
Lucas with the Lid Off,Lucas,1994
Alone Like Me,The Sharp,1994
Neighbourhood Freak,Swoop,1994
You Got Me Floatin',P.M. Dawn,1994
American Life in the Summertime,Francis Dunnery,1994
Jaimme's Got a Gal,You Am I,1994
Low,Cracker,1994
I'm Gonna Release Your Soul,Dave Graney 'n' the Coral Snakes,1994
No Excuses,Alice in Chains,1994
In the Neighbourhood,Sisters Underground,1994
Piece of Crap,Neil Young,1994
Am I Wrong?,Love Spit Love,1994
Saints,The Breeders,1994
Blues Music,G. Love & Special Sauce,1994
Thirsty Dog,Nick Cave and the Bad Seeds,1994
"The More You Ignore Me, the Closer I Get",Morrissey,1994
Purple Haze,The Cure,1994
Regulate,Warren G and Nate Dogg,1994
Dancing in the Moonlight,The Smashing Pumpkins,1994
Round Here,Counting Crows,1994
Shine,Collective Soul,1994
Wildflowers,Things of Stone and Wood,1994
Gallows Pole,Page and Plant,1994
Masses Like Asses,Def FX,1994
Girls & Boys (Pet Shop Boys Remix),Blur,1994
Here Comes the Hotstepper,Ini Kamoze,1994
A Certain Slant of Light,The Tea Party,1994
Agolo,Angélique Kidjo,1994
Stay (I Missed You),Lisa Loeb and Nine Stories,1994
Wonderwall,Oasis,1995
Bullet with Butterfly Wings,The Smashing Pumpkins,1995
Gangsta's Paradise,Coolio,1995
Kitty,The Presidents of the United States of America,1995
It's Oh So Quiet,Björk,1995
Heroin Girl,Everclear,1995
Apartment,Custard,1995
Where the Wild Roses Grow,Nick Cave and the Bad Seeds and Kylie Minogue,1995
(He'll Never Be An) Ol' Man River,TISM,1995
Greg! The Stop Sign!!,TISM,1995
Lump,The Presidents of the United States of America,1995
The Reefer Song,Mindless Drug Hoover,1995
Morning Glory,Oasis,1995
Last Goodbye,Jeff Buckley,1995
Vow,Garbage,1995
Rock 'n' Roll Is Where I Hide,Dave Graney 'n' The Coral Snakes,1995
Blubber Boy,Regurgitator,1995
I Kissed a Girl,Jill Sobule,1995
I Got a Girl,Tripping Daisy,1995
My Friends,Red Hot Chili Peppers,1995
Queer,Garbage,1995
Lightning Crashes,Live,1995
Miss Sarajevo,Passengers,1995
Purple Sneakers,You Am I,1995
Political Prisoners,Insurge,1995
Downtown,Neil Young,1995
Drugs,Ammonia,1995
Aeroplane,Red Hot Chili Peppers,1995
Evidence,Faith No More,1995
Carnival,Natalie Merchant,1995
Time Bomb,Rancid,1995
Apple Eyes,Swoop,1995
Everything Zen,Bush,1995
I Alone,Live,1995
I Got Id,Pearl Jam,1995
Black Steel,Tricky,1995
This Is a Call,Foo Fighters,1995
Common People,Pulp,1995
You Oughta Know,Alanis Morissette,1995
Wynona's Big Brown Beaver,Primus,1995
I Can Dream,Skunk Anansie,1995
The Diamond Sea,Sonic Youth,1995
Monty,Spiderbait,1995
Better Man,Pearl Jam,1995
Glory Box,Portishead,1995
Geek Stink Breath,Green Day,1995
My Island Home,Christine Anu,1995
I Wanna Be A Hippy,Technohead,1995
More Human than Human,White Zombie,1995
Summer,Buffalo Tom,1995
Psychoactive Summer,Def FX,1995
You Suck,The Murmurs,1995
Country House,Blur,1995
Who Farted?,The Vaughans,1995
Up to Our Necks in It,Skunkhour,1995
Chuck,Phunk Junkeez,1995
"Hold Me, Thrill Me, Kiss Me, Kill Me",U2,1995
Lemonsuck,Pollyanna,1995
Supermodel,Jill Sobule,1995
Sparky's Dream,Teenage Fanclub,1995
Sad Song,The Screaming Jets,1995
Empty,Rebecca's Empire,1995
Smash It Up,The Offspring,1995
Stayin' Alive,N-Trance,1995
Boombastic,Shaggy,1995
Fire in the Head,The Tea Party,1995
Baby Did a Bad Bad Thing,Chris Isaak,1995
Pale Grey Eyes,Pollyanna,1995
(Let's Go) Smoke Some Pot,Dash Rip Rock,1995
I'll Stick Around,Foo Fighters,1995
All Over You,Live,1995
Immune Deficiency,Rail,1995
Dredd Song,The Cure,1995
Sickfest,Grinspoon,1995
Warped,Red Hot Chili Peppers,1995
21st Century (Digital Boy),Bad Religion,1995
Heart of the Party,Severed Heads,1995
Trick with a Knife,Strawpeople,1995
Alright,Supergrass,1995
Brain Stew,Green Day,1995
Devil's Diary,The Caulfields,1995
Sunday,Mr Blonde,1995
Army of Me,Björk,1995
Cathy's Clown,You Am I,1995
Hand in My Pocket,Alanis Morissette,1995
Waterfalls,TLC,1995
Jailbreak,Yothu Yindi,1995
Grind,Alice in Chains,1995
Grace,Jeff Buckley,1995
All I Really Want,Alanis Morissette,1995
Digging the Grave,Faith No More,1995
Sick of Myself,Matthew Sweet,1995
All Homeboys Are Dickheads,TISM,1995
Jewels and Bullets,You Am I,1995
Protection,Massive Attack,1995
Hang Around,Tumbleweed,1995
Tingly,Pop! featuring Angie Hart,1995
By Myself,Hecate,1995
When I Come Around,Green Day,1995
Talkin' Seattle Grunge Rock Blues,Todd Snider,1995
Buy Me a Pony,Spiderbait,1996
Stinkfist,Tool,1996
Underground,Ben Folds Five,1996
Pepper,Butthole Surfers,1996
Glycerine,Bush,1996
Pick You Up,Powderfinger,1996
Breathe,The Prodigy,1996
Ballad of the Skeletons,Allen Ginsberg,1996
El Scorcho,Weezer,1996
You're Gorgeous,Babybird,1996
Down,311,1996
Born Slippy .NUXX,Underworld,1996
1979,The Smashing Pumpkins,1996
Scooby Snacks,Fun Lovin' Criminals,1996
Kong Foo Sing,Regurgitator,1996
Spaceman,Babylon Zoo,1996
Firestarter,The Prodigy,1996
D.A.F.,Powderfinger,1996
Swallowed,Bush,1996
Dogs Are the Best People,The Fauves,1996
Down in the Park,Foo Fighters,1996
Oh Yeah,Ash,1996
I Sucked a Lot of Cock to Get Where I Am,Regurgitator,1996
Santa Monica,Everclear,1996
Just a Girl,No Doubt,1996
Setting Sun,The Chemical Brothers,1996
The Distance,Cake,1996
Zero,The Smashing Pumpkins,1996
Devils Haircut,Beck,1996
Self Abuser,The Fauves,1996
Mah Nà Mah Nà,Skin,1996
Living Type,Powderfinger,1996
California Love,2Pac,1996
Mother Mother,Tracy Bonham,1996
Killing Me Softly,Fugees,1996
Standing Outside a Broken Phone Booth with Money in My Hand,Primitive Radio Gods,1996
Virtual Insanity,Jamiroquai,1996
Comedown,Bush,1996
Novocaine for the Soul,Eels,1996
Milk (The Wicked Mix),Garbage featuring Tricky,1996
Whoever You Are,Geggy Tah,1996
Coppertone,Fini Scad,1996
Where It's At,Beck,1996
Salvation,The Cranberries,1996
Aneurysm,Nirvana,1996
Bulls on Parade,Rage Against the Machine,1996
"Hail, Hail",Pearl Jam,1996
Popular,Nada Surf,1996
Pass the Vibes,Definition of Sound,1996
Mach 5,The Presidents of the United States of America,1996
Only Happy When It Rains,Garbage,1996
Until It Sleeps,Metallica,1996
Hyperballad,Björk,1996
If I Could Talk I'd Tell You,The Lemonheads,1996
"Tonight, Tonight",The Smashing Pumpkins,1996
Susan's House,Eels,1996
So Rude,Rebecca's Empire,1996
Heartspark Dollarsign,Everclear,1996
Silver Lizard,Tumbleweed,1996
Hey Dude,Kula Shaker,1996
I'll Be Your Majick,Def FX,1996
Hero of the Day,Metallica,1996
Punk Rock Song,Bad Religion,1996
Wombo Lombo,Angélique Kidjo,1996
Here in Your Bedroom,Goldfinger,1996
What's Come Over Me,Frente!,1996
Everything Is Good for You,Crowded House,1996
Mission: Impossible,Adam Clayton and Larry Mullen Jr.,1996
Speculator,Insurge,1996
Don't It Get You Down,deadstar,1996
Disco 2000,Pulp,1996
Punch in the Face,Frenzal Rhomb,1996
Gold Dust Woman,Hole,1996
Lay Lady Lay,Ministry,1996
Surf's Up Tonight,Midnight Oil,1996
In the Meantime,Spacehog,1996
Burden in My Hand,Soundgarden,1996
How Bizarre,OMC,1996
I Make Hamburgers,The Whitlams,1996
Soldiers,You Am I,1996
Shut My Eyes,The Superjesus,1996
Naked Eye,Luscious Jackson,1996
Waking Up Tired,Hoodoo Gurus,1996
Good Mornin',You Am I,1996
Goldfinger,Ash,1996
Woman,Neneh Cherry,1996
E-Bow the Letter,R.E.M.,1996
Grooving,Hunting Party,1996
Cromagnon Man,Snout,1996
Leaving Here,Pearl Jam,1996
Set the Controls,Barry Adamson,1996
Thunder,The Mavis's,1996
All I Want,Skunk Anansie,1996
Mankind,Pearl Jam,1996
Creep,Frank Bennett,1996
Ella's Uncle,Matthew Trapnell,1996
Hail Caesar,AC/DC,1996
Professional Widow (Armand's Star Trunk Funkin' Mix),Tori Amos,1996
Ready to Go,Republica,1996
Gold to Me,Ben Harper,1996
No Aphrodisiac,The Whitlams,1997
Song 2,Blur,1997
Tubthumping,Chumbawamba,1997
Bitter Sweet Symphony,The Verve,1997
Back Door Man,Pauline Pantsdown,1997
Dammit,Blink-182,1997
Paranoid Android,Radiohead,1997
The Beautiful People,Marilyn Manson,1997
Karma Police,Radiohead,1997
Leaving Home,Jebediah,1997
Walkin' on the Sun,Smash Mouth,1997
One Angry Dwarf and 200 Solemn Faces,Ben Folds Five,1997
Freak,Silverchair,1997
Down Again,The Superjesus,1997
Prisoner of Society,The Living End,1997
Everybody's Free (To Wear Sunscreen),Quindon Tarver,1997
Crazy,Cordrazine,1997
Into My Arms,Nick Cave and the Bad Seeds,1997
Everyday Formula,Regurgitator,1997
I Will Survive,Cake,1997
Monkey Wrench,Foo Fighters,1997
The Drugs Don't Work,The Verve,1997
Calypso,Spiderbait,1997
A.D.I.D.A.S.,Korn,1997
Hitchin' a Ride,Green Day,1997
The Perfect Drug,Nine Inch Nails,1997
The Door,Silverchair,1997
Cows with Guns,Dana Lyons,1997
Semi-Charmed Life,Third Eye Blind,1997
Forty Six & 2,Tool,1997
Ashes to Ashes,Faith No More,1997
Coma,Pendulum,1997
Military Strongmen,Jebediah,1997
DC×3,Grinspoon,1997
Summertime,The Sundays,1997
Mutilated Lips,Ween,1997
Naughty Boy,The Mavis's,1997
The Memory Remains,Metallica,1997
Captain (Million Miles an Hour),Something for Kate,1997
