Title,Artist,year
Hold My Hand,Don Cornell; Nat King Cole,1955
Rock Around the Clock,Bill Haley and His Comets,1955
Melody of Love,The Four Aces; Billy Vaughn,1955
Unchained Melody,Al Hibbler; Les Baxter,1955
I Need You Now,Eddie Fisher,1955
Stranger in Paradise,Tony Bennett,1955
Mr. Sandman,The Four Aces; The Chordettes,1955
"Let Me Go, Lover",Joan Weber; Teresa Brewer,1955
The Ballad of Davy Crockett,"""Tennessee"" Ernie Ford; Fess Parker",1955
Cherry Pink and Apple Blossom White,Les Baxter; Perez Prado,1955
The High and the Mighty,Victor Young; Les Baxter,1955
A Man Called Peter,Darryl Stewart,1955
"Softly, Softly",Ruby Murray,1955
Skokiaan,The Four Lads,1955
Love is a Many Splendored Thing,Nat King Cole; The Four Aces,1955
"Serenade (from ""The Student Prince"")",Mario Lanza,1955
The Naughty Lady of Shady Lane,Dean Martin; The Ames Brothers,1955
If I Give My Heart to You,Doris Day; Nat King Cole,1955
Learnin' the Blues,Frank Sinatra,1955
Something's Gotta Give,Sammy Davis Jr; The McGuire Sisters,1955
A Blossom Fell,Nat King Cole,1955
Papa Loves Mambo,Johnnie Ray; Perry Como,1955
Hajji Baba,Nat King Cole,1955
Humming Bird,Frankie Laine; Les Paul and Mary Ford,1955
I Talk to the Trees,David Hughes; Tony Fontane,1955
Just Walking in the Rain,Johnnie Ray,1956
"Whatever Will Be, Will Be (Que Sera Sera)",Doris Day,1956
The Yellow Rose of Texas,Mitch Miller,1956
Sixteen Tons,Tennessee Ernie Ford; Frankie Laine,1956
Memories Are Made of This,Dean Martin,1956
The Rock and Roll Waltz,Kay Starr,1956
Hot Diggity (Dog Ziggity Boom),Perry Como,1956
Mack the Knife,Louis Armstrong,1956
The Great Pretender,The Platters,1956
The Poor People of Paris,Les Baxter,1956
Portuguese Washerwomen,"Joe ""Fingers"" Carr",1956
He,Al Hibbler,1956
"Moonglow and Love Theme (from Picnic)"" (medley",Morris Stoloff,1956
It's Almost Tomorrow,Jo Stafford; The Dream Weavers,1956
A Sweet Old Fashioned Girl,Teresa Brewer,1956
Moments to Remember,The Four Lads,1956
Wayward Wind,Gogi Grant,1956
My Prayer,The Platters,1956
Ivory Tower,Cathy Carr,1956
Canadian Sunset,Hugo Winterhalter/Eddie Heywood; Andy Williams,1956
Allegheny Moon,Patti Page,1956
